fips,diff_brfss_access2,diff_brfss_checkup,diff_brfss_csmoking,diff_brfss_depression,diff_brfss_diabetes,diff_brfss_ghlth,diff_brfss_mhlth,diff_brfss_obesity,diff_acs_pct_age_gte65,diff_acs_pct_dg_bb_int,diff_acs_pct_ed_9_12,diff_acs_pct_ed_asc,diff_acs_pct_ed_b,diff_acs_pct_ed_gr,diff_acs_pct_ed_hs,diff_acs_pct_ed_lt9,diff_acs_pct_ed_sc,diff_acs_pct_eth_hisp,diff_acs_pct_hlth_unins,diff_acs_pct_occ_mgt,diff_acs_pct_occ_nat_res,diff_acs_pct_occ_prod,diff_acs_pct_occ_sales,diff_acs_pct_occ_svc,diff_acs_pct_occ_unemp,diff_acs_pct_race_aian,diff_acs_pct_race_asian,diff_acs_pct_race_black,diff_acs_pct_race_nhopi,diff_acs_pct_race_other,diff_acs_pct_race_white,diff_acs_pct_ses_pov,diff_acs_pct_sex_female,diff_acs_pct_sex_male,diff_acs_pct_tp_veh_0,diff_acs_pct_tp_veh_1,diff_acs_pct_tp_veh_2,diff_acs_pct_tp_veh_3,diff_acs_pop_tot,diff_brfss_totalpopulation,period
25003,-0.8000000000000007,6.5,-2.0,2.3000000000000007,0.2999999999999998,2.0999999999999996,2.6000000000000014,-2.400000000000002,0.8000000000000007,1.9000000000000057,-0.2999999999999998,-0.40000000000000036,0.8000000000000007,1.1000000000000014,-0.3999999999999986,-0.10000000000000009,-0.6999999999999993,-1.3000000000000003,-0.2999999999999998,2.1000000000000014,-0.20000000000000107,0.10000000000000142,-1.0,-1.0,0.0,-0.09999999999999998,0.0,0.19999999999999973,0.0,0.0,-0.5,0.9000000000000004,-0.29999999999999716,0.29999999999999716,-0.1999999999999993,-0.10000000000000142,0.29999999999999716,0.0,-326,-798,2021_2022
25005,-1.1000000000000005,6.299999999999997,-2.299999999999999,2.1000000000000014,0.7999999999999989,2.6999999999999993,1.3999999999999986,2.8999999999999986,0.3999999999999986,1.5,-0.09999999999999964,0.0,0.3000000000000007,0.09999999999999964,0.3000000000000007,-0.09999999999999964,-0.40000000000000213,1.9000000000000004,-0.20000000000000018,0.3999999999999986,-0.1999999999999993,0.5,-0.1999999999999993,-0.5,0.0,0.1,0.09999999999999964,0.10000000000000053,0.0,-0.09999999999999964,-1.0999999999999943,0.09999999999999964,-0.19999999999999574,0.19999999999999574,-0.3000000000000007,0.10000000000000142,0.0,0.10000000000000142,629,-96,2021_2022
25007,-0.49999999999999956,4.0,-1.8000000000000007,1.8999999999999986,0.7999999999999998,1.5,0.9999999999999982,1.0,1.1000000000000014,2.5,0.20000000000000018,0.5000000000000009,-2.3000000000000007,-0.5,0.10000000000000142,1.4999999999999998,0.5999999999999979,5.7,0.2999999999999998,-1.3999999999999986,2.0999999999999996,-2.3999999999999995,0.5999999999999996,1.1999999999999993,-0.20000000000000018,0.0,0.6,-1.4999999999999996,0.0,0.7000000000000002,-0.7999999999999972,-1.0999999999999996,0.3999999999999986,-0.3999999999999986,-0.30000000000000027,-1.6000000000000014,3.0,-1.0999999999999979,266,-229,2021_2022
25009,-0.40000000000000036,7.299999999999997,-0.40000000000000036,1.0,0.09999999999999964,2.1000000000000014,0.6999999999999993,0.6999999999999993,0.6000000000000014,1.4000000000000057,-0.10000000000000053,0.10000000000000142,0.1999999999999993,0.40000000000000213,-0.1999999999999993,-0.20000000000000018,-0.3000000000000007,-4.800000000000001,-0.10000000000000009,0.8000000000000043,0.2999999999999998,-0.09999999999999964,-0.3000000000000007,-0.7000000000000028,-0.10000000000000009,0.0,0.10000000000000009,0.0,0.0,1.6999999999999993,-3.200000000000003,-0.20000000000000107,-0.10000000000000142,0.10000000000000142,-0.40000000000000036,0.29999999999999716,-0.10000000000000142,0.0,1505,-309,2021_2022
25011,-1.1,4.299999999999997,-3.9000000000000004,1.1999999999999993,-0.5,-0.8000000000000007,0.10000000000000142,-2.0,0.8000000000000007,1.5,-0.20000000000000018,-0.1999999999999993,0.40000000000000213,0.6000000000000014,-1.0,0.10000000000000009,0.3000000000000007,-0.7000000000000002,-0.09999999999999964,1.7000000000000028,0.6999999999999993,-0.3000000000000007,-1.8000000000000007,-0.29999999999999716,0.10000000000000009,0.0,0.19999999999999996,0.0,0.0,0.19999999999999996,-0.7999999999999972,1.4000000000000004,-0.5,0.5,-1.1000000000000005,0.7000000000000028,1.6000000000000014,-1.0999999999999979,-105,-121,2021_2022
25013,-1.5,5.5,1.4000000000000004,3.400000000000002,0.5999999999999996,3.8000000000000007,1.9000000000000021,0.10000000000000142,0.5999999999999979,1.2999999999999972,-0.40000000000000036,0.20000000000000107,0.1999999999999993,0.20000000000000107,-0.29999999999999716,-0.10000000000000053,0.20000000000000284,-11.7,0.0,0.6000000000000014,0.0,0.40000000000000036,-0.6999999999999993,-0.3000000000000007,-0.2999999999999998,0.0,0.0,0.0,0.0,0.9000000000000004,-3.5,-0.09999999999999964,-0.10000000000000142,0.10000000000000142,-0.5,-0.20000000000000284,0.3999999999999986,0.1999999999999993,-1690,-1677,2021_2022
25015,-0.7000000000000002,6.299999999999997,-0.20000000000000107,3.5,0.8000000000000007,1.8000000000000007,1.9000000000000021,1.3000000000000007,1.7000000000000028,0.29999999999999716,-0.19999999999999973,0.09999999999999964,0.1999999999999993,-0.10000000000000142,-0.7000000000000028,0.19999999999999996,0.40000000000000036,-1.3999999999999995,-0.3999999999999999,1.3000000000000043,0.20000000000000018,-0.29999999999999893,0.09999999999999787,-1.3999999999999986,-0.19999999999999973,0.0,-0.2999999999999998,-0.3999999999999999,0.0,0.19999999999999996,-0.4000000000000057,0.09999999999999964,-0.6999999999999957,0.6999999999999957,-0.09999999999999964,0.0,0.30000000000000426,-0.10000000000000142,-7879,1016,2021_2022
25017,-1.2999999999999998,4.5,-0.9000000000000004,4.0,0.0,1.0,1.4000000000000004,-1.2999999999999972,0.5,0.9000000000000057,0.0,-0.10000000000000053,0.5,0.3000000000000007,-0.5,0.09999999999999964,-0.3000000000000007,-0.5000000000000009,-0.20000000000000018,1.0,0.0,-0.09999999999999964,-0.7000000000000011,-0.29999999999999893,-0.10000000000000009,0.0,0.3000000000000007,-0.09999999999999964,-0.1,0.40000000000000036,-1.8000000000000114,0.0,-0.10000000000000142,0.10000000000000142,0.09999999999999964,0.30000000000000426,-0.20000000000000284,-0.09999999999999964,-302,2363,2021_2022
25019,-1.2999999999999998,6.799999999999997,-1.700000000000001,1.3000000000000007,0.09999999999999964,0.40000000000000036,0.29999999999999893,1.0,0.20000000000000107,1.5,-0.4999999999999999,-2.6999999999999993,2.200000000000003,4.5,-1.0,-0.5999999999999999,-1.8999999999999986,-4.5,-1.3999999999999995,3.8999999999999986,-2.599999999999998,-1.5,1.299999999999999,-0.9000000000000021,-1.5000000000000004,0.0,0.10000000000000009,-2.4000000000000004,0.0,1.8000000000000003,-0.7999999999999972,-1.0999999999999996,0.20000000000000284,-0.20000000000000284,-3.0,0.9000000000000021,3.700000000000003,-1.6000000000000014,270,-70,2021_2022
25021,-1.0,5.3999999999999915,-0.5,2.1000000000000014,0.5999999999999996,1.6999999999999993,2.0,2.3000000000000007,0.5,0.8000000000000114,-0.20000000000000018,-0.20000000000000018,0.09999999999999787,0.6000000000000014,-0.10000000000000142,0.10000000000000009,-0.40000000000000036,-0.20000000000000018,-0.10000000000000009,1.0999999999999943,-0.20000000000000018,0.0,-0.5,-0.3000000000000007,0.0,0.0,0.20000000000000107,-0.10000000000000053,0.0,0.19999999999999996,-1.3000000000000114,0.20000000000000018,-0.10000000000000142,0.10000000000000142,0.0,0.5999999999999943,-0.7000000000000028,0.10000000000000142,1709,1026,2021_2022
